ID,WORD,TRANSLATION,COMMENT
1,slag off ,poner podre,(BrE)
2,reek,"tufo, apestar",Riech in German
3,go berserk,ponerse como una fiera,go crazy
4,dicey,"arriesgado, peligroso",risky
5,at large,anda suelto,English
6,a wedge issue,asunto controversial,three words
7,nub,"meollo, quid",gist/guid
8,lease,arrendar/alquilar,English
9,conudrum,enigma/misterio,Pl. conundra
10,nefarious,perverso/malvado,English
11,flummoxed,desconcertado/confundido,English
12,flout,despreciar/desobedecer,English
13,quiver,temblar,shudder
14,bad temper,mal carácter,English
15,pounce,abalanzarse,jump upon prey
16,slobber,babear,drooling intensely
17,mangy,"sarnoso, mezquino",desgastado
18,turtle-dove,tortolito,English
19,tingle,hormigueo,feel prickly sensation
20,warthog,jabalí africano,wild boar with tusks
21,tusk,colmillo,English
22,murky,turbio/oscuro,English
23,hog,glotón/cerdo/acaparar,English
24,hedge,seto/cobertura,English
25,grovel,postrarse/humillarse,English
26,gravel,gravilla,English
27,dawdle,entrenerse /perder el tiempo move without haste,English
28,latch on,"atraído, subirse al carro",Attracted/clingy
29,pry,impertinente,noisy/intrusive
30,egg plant/beet,berenjena,English
31,furlough,military leave/permit,English
32,in the throes of,en la agonía/penas,English
33,chipmunk,tipo de ardilla con rayas/squirrel,English
34,rue,lamentar/compadecerse,English
35,jeer,mofarse de/abuchear,Boo at
36,snitch,informer/chivato,whistleblower
37,swoop,descender en picado,English
38,drab,"apagado, soso",English
39,yearn,long for,English
40,influence peddling,tráfico de influencias,English
41,raid,redada,English
42,stifle,reprimir,English
43,qualm,reparo,English
44,pry,husmear/fisgonear,Verb
45,perks,ventajas,English
46,tributary,afluente,English
47,rail against,despotraticar,criticise harshly (phrasal verb)
48,lapel,solapa,English
49,proxy,poder,English
50,bunk,litera,English
51,stingy,tacaño,English
52,craving,antojo,English
53,conjure up,"evocar, traer a la mente",Phrasal verb/evoke/summon
54,co-signer,avalista,English
55,make a killing,forrarse,English
56,pet peeve,manía,English
57,yank,tirar fuerte,pull strongly  on
58,ham up,sobreactuar,English
59,outlook,perspectiva,English
60,fan out,dispersarse,English
61,jellyfish,medusa,English
62,bleak,"desalentador, oscuro",English
63,tarp,lona,English
64,top-notch,de primera,English
65,slick,suave,"De movimiento, actuación"
66,dainty,"mono,elegante",English
67,haphazard,"caótico, desordendo",English
68,tarp,lona,English
69,awning,toldo,English
70,home improvements,bricolaje,DIY
71,upholster,tapizar,English
72,round ticket ,viaje de ida y vuelta,AmE
73,return ticket ,ida y vuelta,BrE
74,catch off-guard,pillar desprevenido,Sb. phrasal verb
75,tailgate,drive closely behind,English
76,do in,exhaust,English
77,bode,presagiar,English
78,lousy,pésimo,English
79,creep out,asustar,Phrasal verb
80,fling,Tirar,throw/cast 2.affaire/flung
81,hit it off,llevarse bien/hacer migas,Phrsal verb
82,rubble,debris/escombros,English
83,stowaway,polizón,English
84,act up,actuar de forma extraña,Phrasal verb
85,kiss up,hacer la pelota,ass-licking
86,lop off,cut,English
87,rack,tendedero,English
88,take on,contratar,Phrasal verb
89,put under,dormir/sedar,English
90,let on,dar prenda/revelar info,Phrasal verb
91,usher,acomodador,English
92,flipchart,bloc de notas/pizarra,English
93,dingy,"sucio, raído",shabby
94,hurl,tirar algo con fuerza,Throw with force
95,mink,bisón,English
96,lewd,lujurioso/lascivo,English
97,bromide,trivialidad,English
98,morbid,morbo,English
99,flip-flopper,chaquetero,English
100,chuck out,mandar a paseo,"throw away, Phrasal verb"
101,scathing,"feroz,cruel",Adjetivo
102,seedy, de mala fama,"sleazy, adjetivo"
103,pout,"complain, poner morros",English
104,spitting image,viva imagen,English
105,handspring,flip-flap,English
106,scrawny,flacucho,English
107,tattered,"arrapiento, raído",English
108,round-off,rondada,English
109,pail,bucket,English
110,white coat,bata de lab coat,English
111,shovel,spade,English
112,drying rack,tendedero,English
113,conniving,"conspirador,confabulador", Scheming
114,gorge,atiborrarse,Reflexive on/at
115,rubble,escombros,rock remains / debris
116,lewd,lascivo,lud
117,sulky,malhumorado,Eg. teenager
118,tell-tale,delatante,English
119,pander,"complacer, hacer la pelota",try to please sb
120,foraging,ir en busca de comida,English
121,on pins and needles,"in suspense, excited",English
122,slab of granite,losa/bloque,English
123,gutsy,con agallas,English
124,scales,escamas,piel=flake
125,burrow,madriguera,English
126,furrow,"surco, ranura (trench)",English
127,trample,tread heavily/crush pisotear,English
128,lightweight,a person who gets drunk easily,English
129,budding,"incipiente, en ciernes",English
130,soppy,sentimentaloide,UK
131,soapy,empalagoso,English
132,thump,hit sth hard/punch,English
133,pledge,promise,English
134,underpin,supports,English
135,state of wretchedness,miserable state,English
136,hull,casco (h^l),English
137,throng,crowd,English
138,dangle,hang loosely,English
139,sheath,vaina,English
140,bouncer,"portero, segurata",English
141,stretcher,camilla,Gurney
142,baulk,refuse,balk
143,upholstery,tapiceria,English
144,dashboard,salpicadero,English
145,glove box,guantera,English
146,gash,"raja, tajo, injury",English
147,gush,salir a borbotones/hablar,con entusiasmo/English
148,bickering,petty arguments (riñas),English
149,scab,costra,English
150,pushpin,chincheta,thumbtack
151,thumbnail,miniatura,English
152,manger ,pesebre,(meind3er)
153,snare,cepo/animal trap,English
154,wedge,meter,English
155,grim,sombrío,English
156,beguiling,enchanting,English
157,hearse,(hers)=coche fúnebre,English
158,hearth,fireplace,English
159,belittle,menospreciar,English
160,dainty,"exquisito, refinado",English
161,hag,ugly old woman;arpía,English
162,reel,tambalearse;dar vueltas,English
163,berate,scold,English
164,belated,happy belated birthday,English
165,assess,appraise=evaluate,English
166,schackles,restraints/cadenas,English
167,normalcy,(n) normal,English
168,relaxation,(n) relax,English
169,cough up,apoquinar (uk.slang),English
170,peaky,"paliducha, enferma (uk)",English
171,balaclava,pasamontaña.,English
172,slag off,criticar (uk),English
173,stunted growth,crecimiento retardado,English
174,ragtag,variado/hetereogéneo,motley-assorted
175,bead,"piece of jewellery,abalorio",English
176,shawl,"chal, mantón",English
177,purvey,provide/purveyour,English
178,get the munchies,antojo,English
179,ledge,saliente/repisa,English
180,chair lift,teleferico,English
181,dot.dot.dot,points/periods of ellipsis,English
182,slack off,bunk off,English
183,anchor down,fijar,English
184,stand pat,stand firm,English
185,orderly,celador,English
186,wanton,sin sentido,English
187,wantonness,"extravagant, random",English
188,weary,tired,English
189,rife,abundante/widespread,speculation/English
190,show-off,fantasma,English
191,HOA,home owners association,English
192,lash out,attack verbally,English
193,harass,acosar,English
194,sling,throw,English
195,rub shoulders,hobnob/codearse,English
196,phase in/out,introducir progresivamente,[/z/]English
197,leap year,bisiesto,English
198,wary,"receloso, precavido",English
199,strife,luchar;struggle,English
200,caveat,['kaeviaet] advertencia,English
201,rig,amañar/manipular,"(it was rigged=tongo) 1= install,set up"
202,frantic,desesperado; frenetico,English
203,bequeath,leave in will = give,English
204,wreak,bring about= cause to happen = infligir,English
205,pucker,"fruncir, doblar; pucker your lips",English
206,chickpea,guisante,English
207,leek,puerro,English
208,avocado,aguacate,English
209,rich,"empalogoso, indigesto, pesada",English
210,barring,prep. exceptuando,English
211,bummer,us. rollo,English
212,have your work cut out,sudar la gota gorda,difficult/English
213,moss,musgo,English
214,curly braces,corchetes,English
215,teeming with,abundant,English
216,calf,1 ternero 2= calves;gemelos,English
217,bellows,fuelle/grito/mugir,English
